Fmax,SPRmmy,Fmmy,Fmsy_BH05,Fmsy_BH07,Fmsy_BH08,Fmsy_RI05,Fmsy_RI07,Fmsy_RI08,SPRmsy_BH05,SPRmsy_BH07,SPRmsy_BH08,SPRmsy_RI05,SPRmsy_RI07,SPRmsy_RI08,Ymmy_Ymsy_BH05,Ymmy_Ymsy_BH07,Ymmy_Ymsy_BH08,Ymmy_Ymsy_RI05,Ymmy_Ymsy_RI07,Ymmy_Ymsy_RI08,Y35SPR_Ymsy_BH05,Y35SPR_Ymsy_BH07,Y35SPR_Ymsy_BH08,Y35SPR_Ymsy_RI05,Y35SPR_Ymsy_RI07,Y35SPR_Ymsy_RI08,Y40SPR_Ymsy_BH05,Y40SPR_Ymsy_BH07,Y40SPR_Ymsy_BH08,Y40SPR_Ymsy_RI05,Y40SPR_Ymsy_RI07,Y40SPR_Ymsy_RI08,h_low,h_med,h_hi,h_low2,h_med2,h_hi2,stock
1,0.32,0.57,0.53,0.74,1,0.38,0.69,1,0.35,0.25,0.18,0.45,0.27,0.18,1,0.98,0.92,0.73,0.97,0.74,1,0.96,0.9,0.85,0.94,0.69,0.99,0.92,0.85,0.97,0.87,0.61,0.7,0.83,0.91,0.5,0.7,0.8,Masaba-PA
0.85,0.33,0.45,0.41,0.53,0.63,0.32,0.53,0.78,0.37,0.28,0.23,0.45,0.28,0.17,0.99,0.99,0.96,0.77,0.97,0.76,1,0.98,0.94,0.83,0.96,0.74,0.99,0.94,0.9,0.96,0.89,0.65,0.7,0.83,0.91,0.5,0.7,0.8,Masaba-EC
